sustainable_year,sustainable,underfishing_years,underfished
1974.022,90.031815,1974,39.342525
1975.6505,90.774124,1976.0906,40.19088
1977.0588,91.304344,1977.9171,40.933193
1978.0051,91.51643,1978.9734,37.53977
1978.9954,87.06257,1980.9319,37.751854
1980.9979,86.4263,1983.0225,30.752916
1983.0446,83.351006,1985.003,31.813362
1984.937,82.078476,1986.9176,32.44963
1987.0056,75.7158,1989.0082,31.601273
1988.9421,73.38282,1989.9325,32.55567
1989.9764,82.078476,1992.0231,30.328737
1992.001,76.776245,1994.9279,30.752916
1994.9498,74.44327,1996.9744,26.193
1996.9524,77.09438,1998.911,25.45069
2000.0112,72.74655,1999.9452,24.920467
2004.0164,76.564156,2001.7057,24.072111
2006.085,72.21633,2003.8403,22.799576
2007.9995,66.9141,2006.0409,19.936373
2008.9458,69.777306,2007.9335,13.78579
2010.9923,71.26193,2008.9897,11.558855
2013.127,67.86851,2010.9263,9.968186
2014.9974,66.59597,2012.9509,10.604454
2016.934,65.9597,2014.9974,7.3170733
,,2016.9559,6.468717
