,year,variable,Coverage,dlm.geomean,dlm.lower,dlm.upper,fixed.effects,lower.whisker,q.25,median,q.75,upper.whisker
366,1872,SSBvSSB,0.00106383,3.666379744,2.248193486,5.979174173,4.617788384,2.2421875,2.2421875,2.2421875,2.2421875,2.2421875
367,1873,SSBvSSB,0.00106383,3.661298411,2.287320177,5.860616363,4.617788384,2.2421875,2.2421875,2.2421875,2.2421875,2.2421875
368,1874,SSBvSSB,0.00106383,3.65321728,2.324357724,5.741799703,4.617788384,2.2421875,2.2421875,2.2421875,2.2421875,2.2421875
369,1875,SSBvSSB,0.00106383,3.642081392,2.359607101,5.621595586,4.601705702,2.234375,2.234375,2.234375,2.234375,2.234375
370,1876,SSBvSSB,0.003191489,3.627972271,2.394589001,5.496635454,3.860165439,2.2265625,3.114715113,4.002867726,4.75963184,5.516395955
371,1877,SSBvSSB,0.003191489,3.610949015,2.417236211,5.394157481,3.85111868,2.2109375,3.106902613,4.002867726,4.75963184,5.516395955
372,1878,SSBvSSB,0.003191489,3.590982668,2.433586363,5.298828393,3.846579318,2.203125,3.102996363,4.002867726,4.75963184,5.516395955
373,1879,SSBvSSB,0.003191489,3.567924528,2.444132839,5.208426168,3.842029217,2.1953125,3.099090113,4.002867726,4.75963184,5.516395955
374,1880,SSBvSSB,0.003191489,3.54165535,2.449383725,5.12101166,3.837468313,2.1875,3.095183863,4.002867726,4.75963184,5.516395955
375,1881,SSBvSSB,0.003191489,3.511989547,2.449789091,5.034747942,3.828313837,2.171875,3.087371363,4.002867726,4.75963184,5.516395955
376,1882,SSBvSSB,0.003191489,3.47885998,2.44586014,4.94814342,3.81911537,2.15625,3.079558863,4.002867726,4.75963184,5.516395955
377,1883,SSBvSSB,0.003191489,3.442094777,2.438020004,4.859687958,3.80607863,2.140625,3.065771934,3.990918867,4.753657411,5.516395955
378,1884,SSBvSSB,0.003191489,3.40160854,2.426737264,4.768106064,3.792143359,2.1171875,3.054053184,3.990918867,4.753657411,5.516395955
379,1885,SSBvSSB,0.003191489,3.357332263,2.412488477,4.67222125,3.782795976,2.1015625,3.046240684,3.990918867,4.753657411,5.516395955
380,1886,SSBvSSB,0.004255319,3.308955322,2.396003912,4.569769384,3.429813322,2.078125,3.012174019,3.962596524,4.747682981,5.516395955
381,1887,SSBvSSB,0.004255319,3.260328537,2.375777312,4.47421655,3.420106315,2.0546875,3.000455269,3.962596524,4.747682981,5.516395955
382,1888,SSBvSSB,0.004255319,3.209319691,2.353063277,4.377159332,3.411495714,2.0390625,2.987806712,3.957760466,4.747682981,5.516395955
