"","year","variable","Coverage","dlm.geomean","dlm.lower","dlm.upper","fixed.effects","lower.whisker","q.25","median","q.75","upper.whisker"
"1",1872,"SSBvSSB",0.00106382978723404,2.72577338503296,1.67231543688527,4.44284635702002,3.43244864681098,2,2,2,2,2
"2",1873,"SSBvSSB",0.00106382978723404,2.72198803253271,1.70145114888567,4.35464682844629,3.43244864693086,2,2,2,2,2
"3",1874,"SSBvSSB",0.00106382978723404,2.71596268332782,1.72902247677292,4.2662564520253,3.43244864693091,2,2,2,2,2
"4",1875,"SSBvSSB",0.00106382978723404,2.7076564937301,1.75525489106862,4.17683136810709,3.42049487243507,1.99303135888502,1.99303135888502,1.99303135888502,1.99303135888502,1.99303135888502
"5",1876,"SSBvSSB",0.00319148936170213,2.69713008462799,1.78128046945104,4.0838659706673,2.86858604890757,1.70616113744076,1.8461119276054,1.98606271777003,1.99303135888502,2
"6",1877,"SSBvSSB",0.00319148936170213,2.6844483283676,1.79812350871687,4.00765731204859,2.8618635411838,1.70616113744076,1.83914328649041,1.97212543554007,1.98606271777003,2
"7",1878,"SSBvSSB",0.00319148936170213,2.66958027745422,1.810268297129,3.93679703117769,2.85849041139506,1.70616113744076,1.83565896593292,1.96515679442509,1.98257839721254,2
"8",1879,"SSBvSSB",0.00319148936170213,2.65241458515063,1.81808459462212,3.86962364255778,2.85510930191397,1.70616113744076,1.83217464537543,1.9581881533101,1.97909407665505,2
"9",1880,"SSBvSSB",0.00319148936170213,2.63286161698501,1.82195268870213,3.8046873210143,2.85172016537917,1.70616113744076,1.82869032481794,1.95121951219512,1.97560975609756,2
"10",1881,"SSBvSSB",0.00319148936170213,2.61078238398241,1.82220934188304,3.74061558123125,2.84491761943928,1.70616113744076,1.82172168370296,1.93728222996516,1.96864111498258,2
"11",1882,"SSBvSSB",0.00319148936170213,2.58612585685393,1.81923638872592,3.67629352014688,2.83808238555273,1.70616113744076,1.81475304258797,1.92334494773519,1.9616724738676,2
"12",1883,"SSBvSSB",0.00319148936170213,2.55876317606619,1.81334985839564,3.61059337826019,2.82839554265181,1.70616113744076,1.80778440147299,1.90940766550523,1.95171875812575,1.99402985074627
"13",1884,"SSBvSSB",0.00319148936170213,2.52862965324804,1.80489927650557,3.54256218422588,2.8180404697212,1.70616113744076,1.79733143980052,1.88850174216028,1.94126579645327,1.99402985074627
"14",1885,"SSBvSSB",0.00319148936170213,2.49567267796356,1.7942398802621,3.47132074370344,2.81109458366629,1.70616113744076,1.79036279868554,1.87456445993031,1.93429715533829,1.99402985074627
"15",1886,"SSBvSSB",0.00425531914893617,2.45966004711658,1.78191510289534,3.39518282187033,2.54896829340337,1.70616113744076,1.77990983701306,1.92085911903895,1.99402985074627,2
"16",1887,"SSBvSSB",0.00425531914893617,2.42346567971804,1.76680937593412,3.32417632641666,2.54175466346461,1.70616113744076,1.76945687534059,1.91040615736648,1.99402985074627,2
