"","year","Coverage","variable","dlm.geomean","dlm.lower","dlm.upper","fixed.effects","lower.whisker","q.25","median","q.75","upper.whisker","N","Ntotal"
"1",1872,0.00199600798403194,"UvU",0.00392843254337257,0.00174713259195672,0.00883309161472673,0.00241617931425692,0.009387755,0.009387755,0.009387755,0.009387755,0.009387755,1,501
"2",1873,0.00199600798403194,"UvU",0.00397045578347344,0.00179382310205092,0.00878822393941395,0.00350796968912434,0.014081633,0.014081633,0.014081633,0.014081633,0.014081633,1,501
"3",1874,0.00199600798403194,"UvU",0.00401453338608645,0.00184292765442866,0.00874504122246681,0.00516938963282369,0.02122449,0.02122449,0.02122449,0.02122449,0.02122449,1,501
"4",1875,0.00199600798403194,"UvU",0.00403890594256007,0.00188364398300322,0.00866021464780116,0.00626117977520877,0.025918367,0.025918367,0.025918367,0.025918367,0.025918367,1,501
"5",1876,0.00598802395209581,"UvU",0.00406037387966009,0.00192706800243689,0.00855529541343516,0.00102160069701462,0,0.00015,3e-04,0.0155581635,0.030816327,3,501
"6",1877,0.00598802395209581,"UvU",0.00409796939030878,0.00196921119138729,0.00852795941712934,0.000971089670223354,0,0.00015,3e-04,0.0133132655,0.026326531,3,501
"7",1878,0.00598802395209581,"UvU",0.00414705894066043,0.00201806423227866,0.00852207654356605,0.000943734364986968,0,0.00015,3e-04,0.0121908165,0.024081633,3,501
"8",1879,0.00598802395209581,"UvU",0.0042194782219652,0.00208024420972255,0.00855860883180306,0.0009735011195423,0,0.00015,3e-04,0.013415306,0.026530612,3,501
"9",1880,0.00598802395209581,"UvU",0.00449291614247643,0.00225198467863113,0.00896378010688579,0.00186827237728876,0,0.0017142855,0.003428571,0.02977551,0.056122449,3,501
"10",1881,0.00598802395209581,"UvU",0.00463205223179345,0.00235478168916895,0.00911163356533272,0.0022614403832688,0,0.0032785715,0.006557143,0.032462245,0.058367347,3,501
"11",1882,0.00598802395209581,"UvU",0.00475619007231834,0.00245192626455521,0.0092259479132922,0.00256869921852525,0,0.0048357145,0.009671429,0.035141837,0.060612245,3,501
"12",1883,0.00598802395209581,"UvU",0.00498035661130192,0.00260757463250733,0.00951226924304305,0.0038176366220219,0.001428571,0.0071071425,0.012785714,0.038127551,0.063469388,3,501
"13",1884,0.00598802395209581,"UvU",0.00509931986259379,0.00270803229058731,0.00960219830148484,0.00413762288910671,0.001428571,0.008642857,0.015857143,0.040989796,0.066122449,3,501
"14",1885,0.00598802395209581,"UvU",0.00521783447774522,0.00281132919538204,0.00968431469422669,0.00444154552702873,0.001428571,0.0102142855,0.019,0.043989796,0.068979592,3,501
"15",1886,0.00798403193612774,"UvU",0.00533614918022552,0.00291969466069041,0.00975255681937926,0.00387561838643433,0.001428571,0.0016865075,0.0120436505,0.0470918365,0.072040816,4,501
"16",1887,0.00798403193612774,"UvU",0.0055164067581409,0.00306144344910559,0.00993999857490523,0.00446967139956359,0.001428571,0.002519841,0.014376984,0.0485918365,0.072040816,4,501
"17",1888,0.00798403193612774,"UvU",0.00577759764388614,0.00325571448696423,0.01025293669586,0.00592310062412623,0.002857143,0.0050396825,0.017753968,0.049142857,0.07,4,501
"18",1889,0.00798403193612774,"UvU",0.00600152480013303,0.00343352980287123,0.0104901666781783,0.00719558319037163,0.002857143,0.008373016,0.02265873,0.05377551,0.076122449,4,501
"19",1890,0.00798403193612774,"UvU",0.00617773422073712,0.00358830073299627,0.0106357863907908,0.00795544349030232,0.002857143,0.009484127,0.02534127,0.062489796,0.090408163,4,501
"20",1891,0.00798403193612774,"UvU",0.00634585727383186,0.00374411380512105,0.0107555236394698,0.00863768385078512,0.004285714,0.0101984125,0.02684127,0.0610306125,0.084489796,4,501
"21",1892,0.0179640718562874,"UvU",0.00648705600802351,0.00389974706099125,0.0107909295123713,0.00747486361020461,0,0.00042,0.004285714,0.040714286,0.09,9,501
"22",1893,0.0199600798403194,"UvU",0.00664366684801404,0.00403670850099599,0.0109342324759171,0.00957166668472961,0,0.00042,0.0109126985,0.0758,0.094081633,10,501
"23",1894,0.0199600798403194,"UvU",0.00677522182410475,0.0041540440910275,0.0110503475071376,0.00995948251574041,0,0.00042,0.011626984,0.0718,0.09755102,10,501
"24",1895,0.0199600798403194,"UvU",0.00694311180302678,0.00429757894962104,0.0112171997476813,0.0106615410221132,0,1e-04,0.01234127,0.0674,0.096734694,10,501
"25",1896,0.0219560878243513,"UvU",0.00704338134269405,0.00440278719858393,0.0112676853322746,0.0087889314031777,0,2e-05,0.01,0.058742857,0.09877551,11,501
"26",1897,0.0219560878243513,"UvU",0.00700054744028238,0.00440996982645557,0.0111129251201778,0.00807280220262448,0,2e-05,0.011428571,0.058342857,0.099387755,11,501
"27",1898,0.0219560878243513,"UvU",0.00713726764738688,0.00453801177712499,0.0112253101076587,0.00833853377937107,0,1e-05,0.014285714,0.0583142855,0.116122449,11,501
"28",1899,0.0219560878243513,"UvU",0.00722310239646572,0.00463600747825937,0.0112539094197962,0.00834440479311192,0,2e-05,0.015714286,0.0578857145,0.134285714,11,501
"29",1900,0.029940119760479,"UvU",0.00735561395243496,0.00477851437238094,0.0113225685644004,0.00713408372540574,0,0,0.00124,0.040927778,0.065714286,15,501
"30",1901,0.0359281437125748,"UvU",0.00797146143596771,0.00523714307800588,0.0121333705187439,0.00771073886959313,0,0,0.0046275625,0.036363636,0.068857143,18,501
"31",1902,0.0359281437125748,"UvU",0.00856634426229009,0.0056679647850395,0.0129468436737225,0.00910823864939299,0,0,0.0068826865,0.054545455,0.071857143,18,501
"32",1903,0.0359281437125748,"UvU",0.00915630147198186,0.0061004014884944,0.0137430063912906,0.0105831620974556,0,0,0.010002316,0.075,0.170612245,18,501
"33",1904,0.0359281437125748,"UvU",0.00953950554218732,0.00639631822002727,0.014227273074765,0.0113567189230568,0,0,0.0132310365,0.078142857,0.163265306,18,501
"34",1905,0.0399201596806387,"UvU",0.00998535237483579,0.00674688298818332,0.0147782705323731,0.013288883782019,0,4e-05,0.014205501,0.0862,0.194827586,20,501
"35",1906,0.0399201596806387,"UvU",0.0101136751911574,0.00686748259751791,0.0148943116228938,0.0132653704690757,0,5e-05,0.0149160395,0.0882142855,0.2,20,501
"36",1907,0.0399201596806387,"UvU",0.0102394788703968,0.00698970931211991,0.0150001842502237,0.0132659576324794,0,5e-05,0.0159177765,0.0926857145,0.218181818,20,501
"37",1908,0.0399201596806387,"UvU",0.0106141541073274,0.00729219139483894,0.01544943917597,0.0142628717736212,0,6e-05,0.017427904,0.097057143,0.1354,20,501
"38",1909,0.0419161676646707,"UvU",0.0107631615379101,0.00744438836121291,0.0155614727053645,0.0146955782310043,0,0,0.016,0.095510204,0.1516,21,501
"39",1910,0.0439121756487026,"UvU",0.011083306354597,0.00772075486808528,0.0159103198908211,0.0147615986484299,0,0,0.018174052,0.097,0.1676,22,501
"40",1911,0.0479041916167665,"UvU",0.0114772722626132,0.00805699735029546,0.0163494876395012,0.0165594598718853,0,0,0.01097397,0.089255102,0.1836,24,501
"41",1912,0.0479041916167665,"UvU",0.0118582220620441,0.00837711952606757,0.0167858928161623,0.0177848677456028,0,0,0.0123902515,0.095091133,0.1996,24,501
"42",1913,0.0499001996007984,"UvU",0.0120955822984293,0.00860443847384698,0.0170032142809506,0.0162692254014877,0,0,0.0053,0.106571429,0.216,25,501
"43",1914,0.0499001996007984,"UvU",0.012345698830054,0.00884214003702874,0.0172374876403353,0.0168399158356615,0,0,0.0053,0.075306122,0.178,25,501
"44",1915,0.0578842315369262,"UvU",0.0129315678367677,0.00935426072814066,0.0178769281268649,0.0142963627190613,0,0,0.00592,0.075555556,0.167753225,29,501
